Time,Temperature,Voltage,Current,RPM,Temperature_Anomaly,RPM_Anomaly,Current_Anomaly,Anomaly
2026-09-08 09:00:00,61.04,417.18,9.13,1447,False,False,False,0
2026-09-08 09:01:00,51.81,411.37,9.12,1450,False,False,False,0
2026-09-08 09:02:00,72.78,416.78,7.97,1427,False,False,False,0
2026-09-08 09:03:00,70.67,418.29,8.13,1406,False,True,False,1
2026-09-08 09:04:00,77.27,417.43,9.67,1409,True,True,True,1
2026-09-08 09:05:00,66.5,415.4,9.66,1450,False,False,True,1
2026-09-08 09:06:00,58.18,414.75,9.62,1460,False,False,True,1
2026-09-08 09:07:00,71.17,416.29,9.95,1483,False,False,True,1
2026-09-08 09:08:00,57.59,412.33,7.64,1458,False,False,False,0
2026-09-08 09:09:00,67.35,411.19,8.04,1419,False,True,False,1
2026-09-08 09:10:00,62.29,417.07,7.18,1455,False,False,False,0
2026-09-08 09:11:00,63.78,412.77,9.91,1453,False,False,True,1
2026-09-08 09:12:00,62.64,418.88,8.57,1407,False,True,False,1
2026-09-08 09:13:00,54.36,417.01,8.3,1455,False,False,False,0
2026-09-08 09:14:00,55.8,413.64,7.71,1420,False,False,False,0
2026-09-08 09:15:00,62.65,415.03,8.07,1451,False,False,False,0
2026-09-08 09:16:00,71.72,417.79,7.23,1433,False,False,False,0
2026-09-08 09:17:00,75.04,410.13,9.23,1428,True,False,False,1
2026-09-08 09:18:00,64.82,412.62,9.91,1441,False,False,True,1
2026-09-08 09:19:00,63.48,412.48,7.86,1468,False,False,False,0
2026-09-08 09:20:00,50.85,416.97,9.74,1482,False,False,True,1
2026-09-08 09:21:00,59.83,418.0,7.71,1460,False,False,False,0
2026-09-08 09:22:00,71.1,419.96,8.44,1469,False,False,False,0
2026-09-08 09:23:00,50.1,410.75,8.13,1404,False,True,False,1
2026-09-08 09:24:00,72.25,410.42,7.98,1429,False,False,False,0
2026-09-08 09:25:00,58.63,414.72,8.13,1483,False,False,False,0
2026-09-08 09:26:00,70.55,410.0,7.65,1492,False,False,False,0
2026-09-08 09:27:00,80.0,414.33,9.52,1499,True,False,True,1
2026-09-08 09:28:00,63.96,413.81,9.4,1489,False,False,False,0
2026-09-08 09:29:00,79.36,414.11,8.37,1489,True,False,False,1
2026-09-08 09:30:00,57.48,414.55,8.65,1477,False,False,False,0
2026-09-08 09:31:00,68.09,418.96,7.07,1445,False,False,False,0
2026-09-08 09:32:00,62.77,419.74,7.52,1406,False,True,False,1
2026-09-08 09:33:00,72.85,413.39,7.86,1422,False,False,False,0
2026-09-08 09:34:00,66.61,418.34,8.81,1419,False,True,False,1
2026-09-08 09:35:00,62.89,412.47,9.01,1407,False,True,False,1
2026-09-08 09:36:00,76.95,414.58,9.05,1400,True,True,False,1
2026-09-08 09:37:00,60.75,416.08,8.87,1429,False,False,False,0
2026-09-08 09:38:00,54.53,417.44,7.92,1438,False,False,False,0
2026-09-08 09:39:00,67.74,414.47,8.49,1426,False,False,False,0
2026-09-08 09:40:00,69.24,410.16,8.32,1444,False,False,False,0
2026-09-08 09:41:00,76.24,418.84,9.58,1463,True,False,True,1
2026-09-08 09:42:00,65.82,415.51,7.02,1460,False,False,False,0
2026-09-08 09:43:00,70.34,412.26,8.79,1479,False,False,False,0
2026-09-08 09:44:00,53.76,412.07,7.59,1443,False,False,False,0
2026-09-08 09:45:00,73.21,417.79,8.18,1401,False,True,False,1
2026-09-08 09:46:00,54.6,419.56,9.72,1432,False,False,True,1
2026-09-08 09:47:00,64.16,415.43,7.48,1493,False,False,False,0
2026-09-08 09:48:00,53.48,418.82,7.4,1444,False,False,False,0
2026-09-08 09:49:00,58.84,417.03,7.59,1419,False,True,False,1
2026-09-08 09:50:00,70.81,414.05,7.39,1443,False,False,False,0
2026-09-08 09:51:00,68.87,419.78,8.53,1477,False,False,False,0
2026-09-08 09:52:00,72.37,410.7,7.2,1423,False,False,False,0
2026-09-08 09:53:00,68.51,410.37,7.22,1412,False,True,False,1
2026-09-08 09:54:00,71.51,413.01,7.26,1417,False,True,False,1
2026-09-08 09:55:00,66.64,418.54,7.82,1491,False,False,False,0
2026-09-08 09:56:00,51.08,411.63,9.1,1456,False,False,False,0
2026-09-08 09:57:00,54.88,418.56,8.69,1451,False,False,False,0
2026-09-08 09:58:00,62.37,418.72,8.88,1424,False,False,False,0
2026-09-08 09:59:00,52.63,419.82,9.93,1468,False,False,True,1
2026-09-08 10:00:00,70.46,410.03,7.02,1443,False,False,False,0
2026-09-08 10:01:00,51.85,410.24,7.88,1479,False,False,False,0
2026-09-08 10:02:00,64.26,414.93,7.84,1476,False,False,False,0
2026-09-08 10:03:00,75.81,410.19,9.49,1452,True,False,False,1
2026-09-08 10:04:00,55.33,412.8,9.69,1420,False,False,True,1
2026-09-08 10:05:00,75.45,411.54,8.86,1401,True,True,False,1
2026-09-08 10:06:00,67.73,412.93,9.24,1497,False,False,False,0
2026-09-08 10:07:00,79.16,412.95,9.92,1475,True,False,True,1
2026-09-08 10:08:00,58.41,415.43,7.32,1449,False,False,False,0
2026-09-08 10:09:00,66.86,414.65,7.69,1402,False,True,False,1
2026-09-08 10:10:00,63.21,417.16,8.53,1488,False,False,False,0
2026-09-08 10:11:00,74.72,410.49,7.67,1408,False,True,False,1
2026-09-08 10:12:00,73.84,414.71,8.57,1439,False,False,False,0
2026-09-08 10:13:00,76.56,415.32,7.53,1436,True,False,False,1
2026-09-08 10:14:00,73.99,416.28,9.34,1462,False,False,False,0
2026-09-08 10:15:00,51.73,414.72,9.84,1449,False,False,True,1
2026-09-08 10:16:00,59.85,415.39,9.71,1447,False,False,True,1
2026-09-08 10:17:00,70.71,413.34,8.06,1429,False,False,False,0
2026-09-08 10:18:00,66.73,416.26,9.95,1468,False,False,True,1
2026-09-08 10:19:00,53.72,410.99,7.92,1442,False,False,False,0
2026-09-08 10:20:00,75.0,416.37,9.62,1403,False,True,True,1
2026-09-08 10:21:00,75.41,418.31,9.6,1434,True,False,True,1
2026-09-08 10:22:00,62.54,418.01,9.53,1404,False,True,True,1
2026-09-08 10:23:00,59.57,418.95,7.73,1416,False,True,False,1
2026-09-08 10:24:00,60.27,419.6,9.1,1465,False,False,False,0
2026-09-08 10:25:00,79.08,412.1,9.15,1442,True,False,False,1
2026-09-08 10:26:00,60.06,411.79,9.32,1422,False,False,False,0
2026-09-08 10:27:00,64.39,414.87,7.22,1408,False,True,False,1
2026-09-08 10:28:00,70.43,418.65,7.36,1486,False,False,False,0
2026-09-08 10:29:00,52.16,413.56,8.24,1481,False,False,False,0
2026-09-08 10:30:00,74.94,413.06,8.12,1500,False,False,False,0
2026-09-08 10:31:00,70.24,416.9,9.52,1446,False,False,True,1
2026-09-08 10:32:00,77.26,416.77,8.71,1432,True,False,False,1
2026-09-08 10:33:00,78.22,412.9,8.49,1488,True,False,False,1
2026-09-08 10:34:00,79.7,416.79,9.48,1413,True,True,False,1
2026-09-08 10:35:00,67.9,413.82,8.64,1439,False,False,False,0
2026-09-08 10:36:00,67.23,413.61,9.81,1460,False,False,True,1
2026-09-08 10:37:00,57.28,412.39,9.57,1493,False,False,True,1
2026-09-08 10:38:00,62.98,410.14,9.98,1472,False,False,True,1
2026-09-08 10:39:00,62.94,414.2,9.44,1403,False,True,False,1
