Time,Temperature,Voltage,Current,RPM
09:00,59.88,410.61,8.15,1471
09:01,58.45,413.1,9.31,1412
09:02,52.82,418.13,7.18,1492
09:03,58.06,411.24,8.67,1462
09:04,59.75,412.36,8.01,1443
09:05,70.71,414.56,8.95,1446
09:06,56.03,412.03,7.02,1405
09:07,55.25,411.11,8.79,1470
09:08,54.82,419.1,7.37,1449
09:09,52.1,417.27,9.81,1497
09:10,77.93,418.79,7.65,1476
09:11,69.34,418.26,7.24,1413
09:12,66.49,412.85,7.5,1493
09:13,54.36,415.79,8.84,1431
09:14,79.55,415.73,7.85,1432
09:15,61.63,419.2,8.36,1459
09:16,73.66,413.06,7.6,1458
09:17,72.83,410.01,7.12,1414
09:18,58.18,413.77,9.94,1420
09:19,51.19,413.33,8.48,1445
09:20,56.52,415.77,7.52,1451
09:21,75.1,416.64,9.48,1470
09:22,64.91,415.3,8.18,1455
09:23,74.23,412.09,7.36,1439
09:24,63.86,419.53,8.44,1437
09:25,62.64,413.34,7.18,1429
09:26,73.34,411.04,8.87,1492
09:27,57.76,412.52,9.89,1433
09:28,63.73,417.11,7.02,1413
09:29,74.33,413.61,9.18,1424
09:30,71.18,410.68,7.97,1477
09:31,62.77,413.4,9.01,1414
09:32,68.53,415.48,8.17,1451
09:33,61.8,410.44,8.16,1419
09:34,74.59,416.98,9.76,1439
09:35,50.97,413.53,8.24,1474
09:36,78.94,416.0,8.4,1476
09:37,50.47,419.92,9.0,1487
09:38,77.2,415.93,8.96,1419
09:39,63.55,411.82,8.88,1448
09:40,50.52,418.31,7.89,1444
09:41,62.66,416.43,9.21,1463
09:42,65.69,415.6,7.08,1497
09:43,68.98,417.22,9.83,1496
09:44,59.8,411.15,7.95,1434
09:45,71.36,417.27,8.16,1469
09:46,78.08,412.13,7.07,1469
09:47,78.52,418.43,9.44,1430
09:48,78.61,412.72,8.6,1457
09:49,70.08,415.1,7.74,1460
09:50,66.27,418.37,7.99,1405
09:51,63.46,413.57,9.24,1429
09:52,63.38,417.56,8.79,1465
09:53,53.12,413.82,8.6,1473
09:54,72.9,412.18,7.04,1420
09:55,67.59,410.53,9.25,1471
09:56,63.54,412.16,9.96,1489
09:57,51.11,419.02,7.91,1469
09:58,68.33,418.61,8.7,1460
09:59,74.33,418.62,8.18,1451
10:00,74.81,414.74,9.12,1407
10:01,70.11,410.63,7.14,1484
10:02,71.51,416.91,9.44,1418
10:03,73.8,410.57,8.94,1447
10:04,50.26,414.44,7.33,1442
10:05,57.62,415.16,8.18,1430
10:06,65.03,414.63,10.0,1408
10:07,68.92,412.16,8.83,1450
10:08,72.89,415.79,8.37,1489
10:09,51.57,414.67,7.34,1430
10:10,53.42,415.06,8.24,1410
10:11,59.27,413.06,9.46,1429
10:12,72.88,415.67,9.63,1437
10:13,70.83,417.25,9.59,1499
10:14,72.04,418.41,9.87,1412
10:15,50.84,412.33,8.64,1457
10:16,69.37,419.39,9.64,1405
10:17,75.71,414.42,9.33,1444
10:18,65.45,416.85,7.63,1456
10:19,64.37,416.35,7.27,1418
10:20,62.78,414.6,7.68,1452
10:21,57.76,418.05,9.45,1420
10:22,74.9,416.88,7.85,1487
10:23,64.84,412.81,8.25,1423
10:24,65.44,418.76,7.01,1453
10:25,59.63,413.23,7.47,1460
10:26,55.46,418.8,7.34,1467
10:27,71.3,419.51,9.99,1477
10:28,74.04,412.57,7.81,1480
10:29,75.28,412.93,9.83,1465
10:30,75.12,414.77,7.84,1497
10:31,66.8,417.29,7.62,1408
10:32,66.51,419.5,9.75,1431
10:33,73.17,411.76,9.39,1497
10:34,54.42,415.4,8.94,1428
10:35,53.89,419.49,7.37,1439
10:36,76.37,412.62,7.78,1462
10:37,53.11,413.27,8.89,1478
10:38,51.07,411.82,8.59,1481
10:39,70.82,411.15,9.13,1482
